authors,author_ids,title,date,journal,volume,issue,book_title,pages,publisher,isbn,abstract,paper_url,doi,data_loc,code_loc,file_name,project_id,type,md_file_name
Peter Bandettini,peter_bandettini,Functional Imaging: Magnetic Resonance Imaging,2022-10-18,,,,Neuroscience in the 21st Century,3323-3349,Springer International Publishing,,"Magnetic resonance imaging (MRI) has had a substantial clinical impact since the first commercial scanners were introduced in the early 1980s. The ability to image most human tissue and a wide range of pathologies at high-resolution and high anatomic contrast has led to the explosive propagation of MRI scanners worldwide. Anatomic MRI has enabled identification of tumors, lesions, and other pathologies throughout the body and has been particularly effective and suitable for brain imaging due to the predominance of its MR-differentiable soft tissue, lack of motion, and high levels of magnetic field homogeneity relative to the rest of the body.",https://link.springer.com/referenceworkentry/10.1007/978-3-030-88832-9_150,10.1007/978-3-030-88832-9_150,,,,education,book_chapter,bandettini_2022.md
"Narges Moradi, Pierre LeVan, Burak Akin, Bradley Goodyear, Roberto Sotero",burak_akin,Holo-Hilbert spectral-based noise removal method for EEG high-frequency bands,2022-02-15,Journal of Neuroscience Methods,368,,,109470,,,"Simultaneous EEG-fMRI is a growing and promising field, as it has great potential to further our understanding of the spatiotemporal dynamics of brain function in health and disease. In particular, there is much interest in understanding the fMRI correlates of brain activity in the gamma band (> 30 Hz), as these frequencies are thought to be associated with cognitive processes involving perception, attention, and memory, as well as with disorders such as schizophrenia and autism. However, progress in this area has been limited due to issues such as MR-induced artifacts in EEG recordings, which seem to be more problematic for gamma frequencies. This paper presents a noise removal method for the gamma band of EEG that is based on the Holo-Hilbert spectral analysis (HHSA), but with a new implementation strategy. HHSA uses a nested empirical mode decomposition (EMD) to identify amplitude and frequency modulations (AM and FM, respectively) by averaging over frequencies with high and significant powers. Our method examines gamma band by applying two layers of EMD to the FM and AM components, removing components with very low power based on the power-instantaneous frequency spectrum, and subsequently reconstructs the denoised gamma-band signal from the remaining components. Simulations demonstrate that our proposed method efficiently reduces artifacts while preserving the original gamma signal which is especially critical for simultaneous EEG/fMRI studies.",https://www.sciencedirect.com/science/article/pii/S0165027021004052?casa_token=NfOUrQz33yMAAAAA:ykBFp7ZVgzvoXOWK4NHpRNNEkvT13At-ofgdgrfnGrvAq8fYSSFFy0j3FJiMyUvLYzQ-PaY,10.1016/j.jneumeth.2021.109470,,,,,,moradi_et_al_2022.md
Peter Bandettini,peter_bandettini,Lost in transformation: fMRI power is diminished by unknown variability in methods and people,2022-12-30,Aperture Neuro,2,,,,,,,https://apertureneuro.org/article/81986,https://doi.org/10.52294/725139d7-0b8a-49dc-a81d-ba2ca64ff6d9,,,,education,journal_article,bandettini_2022a.md
"Peter Bandettini, Javier Gonzalez-Castillo, D.A. Handwerker, Paul Taylor, Gang Chen, Adam Thomas","peter_bandettini, javier_gonzalezcastillo, dan_handwerker",The challenge of BWAs: Unknown unknowns in feature space and variance,2022-08-12,Med,3,8,,526-531,,,"The recent paper by Marek et al.1 has shown that, to capture brain-wide associations using fMRI and MRI measures, thousands of individuals are required. These results can be potentially misunderstood to imply that MRI or fMRI lack sensitivity or specificity. This commentary discusses the demonstrated sensitivity of fMRI and focuses on methodology that may allow improvements in BWA studies. While individual variation may be an ultimate constraint, refinements in acquisition, population selection, and processing may bring about higher correlations.",https://www.cell.com/med/fulltext/S2666-6340(22)00312-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2666634022003129%3Fshowall%3Dtrue,10.1016/j.medj.2022.07.002,,,,education,journal_article,bandettini_et_all_2022.md
"Allison Nugent, Adam Thomas, Margaret Mahoney, Alison Gibbons, Jarrod Smith, Antoinette Charles, Jacob Shaw, Jeffrey Stout, Anna Namyst, Arshitha Basavaraj, Eric Earl, Travis Riddle, Joseph Snow, Shruti Japee, Adriana Pavletic, Stephen Sinclair, Vinai Roopchansingh, Peter Bandettini, Joyce Chung",peter_bandettini,"The NIMH intramural healthy volunteer dataset: A comprehensive MEG, MRI, and behavioral resource",2022-08-25,Scientific Data,9,1,,,,,"The NIMH Healthy Research Volunteer Dataset is a collection of phenotypic data characterizing healthy research volunteers using clinical assessments such as assays of blood and urine, mental health assessments, diagnostic and dimensional measures of mental health, cognitive and neuropsychological functioning, structural and functional magnetic resonance imaging (MRI), along with diffusion tensor imaging (DTI), and a comprehensive magnetoencephalography battery (MEG). In addition, blood samples of healthy volunteers are banked for future analyses. All data collected in this protocol are broadly shared in the OpenNeuro repository, in the Brain Imaging Data Structure (BIDS) format. In addition, task paradigms and basic pre-processing scripts are shared on GitHub. There are currently few open access MEG datasets, and multimodal neuroimaging datasets are even more rare. Due to its depth of characterization of a healthy population in terms of brain health, this dataset may contribute to a wide array of secondary investigations of non-clinical and clinical research questions.",https://www.nature.com/articles/s41597-022-01623-9,10.1038/s41597-022-01623-9,https://openneuro.org/datasets/ds004215/versions/1.0.0,,,education,journal_article,nugent_et_al_2022.md
"Javier Gonzalez-Castillo, Isabel Fernandez, Ka Lam, Daniel Handwerker, Francisco Pereira, Peter Bandettini","javier_gonzalezcastillo, isabel_fernandez, dan_handwerker, peter_bandettini",Manifold Learning for fMRI time-varying FC,2023-07-10,Frontiers in Human Neuroscience,17,,,,,,"Whole-brain functional connectivity (FC) measured with functional MRI (fMRI) evolves over time in meaningful ways at temporal scales going from years (e.g., development) to seconds [e.g., within-scan time-varying FC (tvFC)]. Yet, our ability to explore tvFC is severely constrained by its large dimensionality (several thousands). To overcome this difficulty, researchers often seek to generate low dimensional representations (e.g., 2D and 3D scatter plots) hoping those will retain important aspects of the data (e.g., relationships to behavior and disease progression). Limited prior empirical work suggests that manifold learning techniques (MLTs)—namely those seeking to infer a low dimensional non-linear surface (i.e., the manifold) where most of the data lies—are good candidates for accomplishing this task. Here we explore this possibility in detail. First, we discuss why one should expect tvFC data to lie on a low dimensional manifold. Second, we estimate what is the intrinsic dimension (ID; i.e., minimum number of latent dimensions) of tvFC data manifolds. Third, we describe the inner workings of three state-of-the-art MLTs: Laplacian Eigenmaps (LEs), T-distributed Stochastic Neighbor Embedding (T-SNE), and Uniform Manifold Approximation and Projection (UMAP). For each method, we empirically evaluate its ability to generate neuro-biologically meaningful representations of tvFC data, as well as their robustness against hyper-parameter selection. Our results show that tvFC data has an ID that ranges between 4 and 26, and that ID varies significantly between rest and task states. We also show how all three methods can effectively capture subject identity and task being performed: UMAP and T-SNE can capture these two levels of detail concurrently, but LE could only capture one at a time. We observed substantial variability in embedding quality across MLTs, and within-MLT as a function of hyper-parameter selection. To help alleviate this issue, we provide heuristics that can inform future studies. Finally, we also demonstrate the importance of feature normalization when combining data across subjects and the role that temporal autocorrelation plays in the application of MLTs to tvFC data. Overall, we conclude that while MLTs can be useful to generate summary views of labeled tvFC data, their application to unlabeled data such as resting-state remains challenging.",https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2023.1134012/full,10.3389/fnhum.2023.1134012,,,,bold_connectivity_dynamics,journal_article,gonzalez_castillo_et_al_2023.md
"Hao Song, Johannes Fisher, Ali Özen, Burak Akin, Stefan Schumann, Michael Bock",burak_akin,Quantification of regional CMRO2 in human brain using dynamic 17O-MRI at 3T,2023-08-08,Zeitschrift für Medizinische Physik,,,,,,,"CMRO2 represents a key indicator of the physiological state of brain tissue. Dynamic 17O-MRI with inhalation of isotopically enriched 17O gas has been used to quantify global CMRO2 in brain white (WM) and gray matter (GM). However, global CMRO2 can only reflect the overall oxygen metabolism of the brain and cannot provide enough information on local tissue oxygen metabolism. To investigate the feasibility of determination of regional CMRO2 at a clinical 3 T MRI system, CMRO2 values in frontal, parietal and occipital WM and GM were determined in 5 healthy volunteers and compared to evaluate the regional differences of oxygen metabolism in WM and GM. Additionally, regional CMRO2 values were determined in deep brain structures including thalamus, dorsal striatum, caudate nucleus and insula cortex and in the cerebella, and compared with literature values from 15O-PET studies.",https://www.sciencedirect.com/science/article/pii/S0939388923000867?via%3Dihub,10.1016/j.zemedi.2023.07.004,,,,,journal_article,song_et_al_2023.md
"Joshua Teves, Javier Gonzalez-Castillo, Micah Holness, Megan Spurney, Peter Bandettini, Daniel Handwerker","joshua_teves, javier_gonzalezcastillo, micah_holness, megan_spurney, peter_bandettini, dan_handwerker",The art and science of using quality control to understand and improve fMRI data,2023-04-05,Frontiers in Neuroscience,17,,,,,,"Designing and executing a good quality control (QC) process is vital to robust and reproducible science and is often taught through hands on training. As FMRI research trends toward studies with larger sample sizes and highly automated processing pipelines, the people who analyze data are often distinct from those who collect and preprocess the data. While there are good reasons for this trend, it also means that important information about how data were acquired, and their quality, may be missed by those working at later stages of these workflows. Similarly, an abundance of publicly available datasets, where people (not always correctly) assume others already validated data quality, makes it easier for trainees to advance in the field without learning how to identify problematic data. This manuscript is designed as an introduction for researchers who are already familiar with fMRI, but who did not get hands on QC training or who want to think more deeply about QC. This could be someone who has analyzed fMRI data but is planning to personally acquire data for the first time, or someone who regularly uses openly shared data and wants to learn how to better assess data quality. We describe why good QC processes are important, explain key priorities and steps for fMRI QC, and as part of the FMRI Open QC Project, we demonstrate some of these steps by using AFNI software and AFNI’s QC reports on an openly shared dataset. A good QC process is context dependent and should address whether data have the potential to answer a scientific question, whether any variation in the data has the potential to skew or hide key results, and whether any problems can potentially be addressed through changes in acquisition or data processing. Automated metrics are essential and can often highlight a possible problem, but human interpretation at every stage of a study is vital for understanding causes and potential solutions.",https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2023.1100544/full,10.3389/fnins.2023.1100544,https://osf.io/qaesm/,https://github.com/nimh-sfim/SFIM_Frontiers_Neuroimaging_QC_Project,,education,journal_article,teves_et_al_2023.md
"Sharif Kronemer, Micah Holness, Tyler Morgan, Joshua Teves, Javier Gonzalez-Castillo, Daniel Handwerker, Peter Bandettini","sharif_kronemer, micah_holness, tyler_morgan, joshua_teves, javier_gonzalezcastillo, dan_handwerker, peter_bandettini",Visual imagery vividness correlates with afterimage brightness and sharpness,2024-08-01,Neuroscience of Consciousness,2024,1,,,,,"Afterimages are illusory, visual conscious perceptions. A widely accepted theory is that afterimages are caused by retinal signaling that continues after the physical disappearance of a light stimulus. However, afterimages have been reported without preceding visual, sensory stimulation (e.g. conditioned afterimages and afterimages induced by illusory vision). These observations suggest the role of top-down brain mechanisms in afterimage conscious perception. Therefore, some afterimages may share perceptual features with sensory-independent conscious perceptions (e.g. imagery, hallucinations, and dreams) that occur without bottom-up sensory input. In the current investigation, we tested for a link between the vividness of visual imagery and afterimage conscious perception. Participants reported their vividness of visual imagery and perceived sharpness, contrast, and duration of negative afterimages. The afterimage perceptual features were acquired using perception matching paradigms that were validated on image stimuli. Relating these perceptual reports revealed that the vividness of visual imagery positively correlated with afterimage contrast and sharpness. These behavioral results support shared neural mechanisms between visual imagery and afterimages. However, we cannot exclude alternative explanations, including demand characteristics and afterimage perception reporting inaccuracy. This study encourages future research combining neurophysiology recording methods and afterimage paradigms to directly examine the neural mechanisms of afterimage conscious perception.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11294681/,10.1093/nc/niae032,https://github.com/nimh-sfim/Afterimage-Imagery-Behavioral,https://github.com/nimh-sfim/Afterimage-Imagery-Behavioral,,consciousness,journal_article,kronemer_et_al_2024a.md
"Sang-Han Choi, Geun Im, Sangcheon Choi, Xin Yu, Peter Bandettini, Ravi Menon, Seong-Gi Kim",peter_bandettini,No Replication of Direct Neuronal Activity-related (DIANA) fMRI in Anesthetized Mice,2024-03-27,Science Advances,10,13,,,,,"Toi et al. (Science, 378, 160-168, 2022) reported direct imaging of neuronal activity (DIANA) by fMRI in anesthetized mice at 9.4 T, which could be a revolutionary approach for advancing systems neuroscience research. There have been no independent replications of this observation to date. We performed fMRI experiments in anesthetized mice at an ultrahigh field of 15.2 T using the identical protocol as in their paper. The BOLD response to whisker stimulation was reliably detected in the primary barrel cortex before and after DIANA experiments; however, no direct neuronal activity-like fMRI peak was observed in individual animals’ data with the 50–300 trials used in the DIANA publication. Extensively averaged data involving 1,050 trials in 6 mice (1,050×54 = 56,700 stimulus events) and having a temporal signal-to-noise ratio of 7,370, showed a flat baseline and no detectable neuronal activity-like fMRI peak. Thus we were unable to replicate the previously reported results using the same methods, despite a much higher number of trials, a much higher temporal signal-to-noise ratio, and a much higher magnetic field strength. We were able to demonstrate spurious, non-replicable peaks when using a small number of trials. It was only when performing the inappropriate approach of excluding outliers not conforming to the expected temporal characteristics of the response did we see a clear signal change; however, these signals were not observed when such a outlier elimination approach was not used.",https://www.science.org/doi/10.1126/sciadv.adl0999,10.1126/sciadv.adl0999,,,,,journal_article,choi_et_al_2024.md
"Nikhil Goyal, Dustin Moraczewski, Peter Bandettini, Emily Finn, Adam Thomas","emily_finn, peter_bandettini","The positive–negative mode link between brain connectivity, demographics and behaviour: a pre-registered replication of Smith et al. (2015)",2022-02-02,Royal Society Open Science,9,2,,,,,"In mental health research, it has proven difficult to find measures of brain function that provide reliable indicators of mental health and well-being, including susceptibility to mental health disorders. Recently, a family of data-driven analyses have provided such reliable measures when applied to large, population-level datasets. In the current pre-registered replication study, we show that the canonical correlation analysis (CCA) methods previously developed using resting-state magnetic resonance imaging functional connectivity and subject measures (SMs) of cognition and behaviour from healthy adults are also effective in measuring well-being (a ‘positive–negative axis') in an independent developmental dataset. Our replication was successful in two out of three of our pre-registered criteria, such that a primary CCA mode's weights displayed a significant positive relationship and explained a significant amount of variance in both functional connectivity and SMs. The only criterion that was not successful was that compared to other modes the magnitude of variance explained by the primary CCA mode was smaller than predicted, a result that could indicate a developmental trajectory of a primary mode. This replication establishes a signature neurotypical relationship between connectivity and phenotype, opening new avenues of research in neuroscience with clear clinical applications.",https://royalsocietypublishing.org/doi/10.1098/rsos.201090,10.1098/rsos.201090,,,,bold_connectivity_dynamics,journal_article,goyal_et_al_2022.md
Javier Gonzalez-Castillo,javier_gonzalezcastillo,Traveling and Standing waves in the brain,2022-07-28,Nature Neuroscience,25,8,,,,,Studying the natural wanderings of the living brain is extremely challenging. Bolt et al. describe a new framework for considering the brain’s intrinsic activity based on the geophysical concepts of standing and traveling waves.,https://www.nature.com/articles/s41593-022-01119-0,10.1038/s41593-022-01119-0,,,,bold_connectivity_dynamics,journal_article,gonzalez_castillo_2022.md
"Javier Gonzalez-Castillo, Isabel Fernandez, Daniel Handwerker, Peter Bandettini","javier_gonzalezcastillo, isabel_fernandez, dan_handwerker, peter_bandettini",Ultra-slow fMRI fluctuations in the fourth ventricle as a marker of drowsiness,2022-10-01,NeuroImage,259,,,119424,,,"Wakefulness levels modulate estimates of functional connectivity (FC), and, if unaccounted for, can become a substantial confound in resting-state fMRI. Unfortunately, wakefulness is rarely monitored due to the need for additional concurrent recordings (e.g., eye tracking, EEG). Recent work has shown that strong fluctuations around 0.05Hz, hypothesized to be CSF inflow, appear in the fourth ventricle (FV) when subjects fall asleep, and that they correlate significantly with the global signal. The analysis of these fluctuations could provide an easy way to evaluate wakefulness in fMRI-only data and improve our understanding of FC during sleep. Here we evaluate this possibility using the 7T resting-state sample from the Human Connectome Project (HCP). Our results replicate the observation that fourth ventricle ultra-slow fluctuations (∼0.05Hz) with inflow-like characteristics (decreasing in intensity for successive slices) are present in scans during which subjects did not comply with instructions to keep their eyes open (i.e., drowsy scans). This is true despite the HCP data not being optimized for the detection of inflow-like effects. In addition, time-locked BOLD fluctuations of the same frequency could be detected in large portions of grey matter with a wide range of temporal delays and contribute in significant ways to our understanding of how FC changes during sleep. First, these ultra-slow fluctuations explain half of the increase in global signal that occurs during descent into sleep. Similarly, global shifts in FC between awake and sleep states are driven by changes in this slow frequency band. Second, they can influence estimates of inter-regional FC. For example, disconnection between frontal and posterior components of the Defulat Mode Network (DMN) typically reported during sleep were only detectable after regression of these ultra-slow fluctuations. Finally, we report that the temporal evolution of the power spectrum of these ultra-slow FV fluctuations can help us reproduce sample-level sleep patterns (e.g., a substantial number of subjects descending into sleep 3 minutes following scanning onset), partially rank scans according to overall drowsiness levels, and predict individual segments of elevated drowsiness (at 60 seconds resolution) with 71% accuracy.",https://www.sciencedirect.com/science/article/pii/S1053811922005419?via%3Dihub,10.1016/j.neuroimage.2022.119424,,https://github.com/nimh-sfim/hcp7t_fv_sleep,,bold_connectivity_dynamics,journal_article,gonzalez_castillo_et_al_2022.md
"Rémi Gau, Stephanie Noble, Katja Heuer, Katherine Bottenhorn, Isil Bilgin, Yu-Fang Yang, Julia Huntenburg, Johanna Bayer, Richard Bethlehem, Shawn Rhoads, Christoph Vogelbacher, Valentina Borghesani, Elizabeth Levitis, Hao-Ting Wang, Sofie Van Den Bossche, Xenia Kobeleva, Jon Legarreta, Samuel Guay, Selim Atay, Gael Varoquaux, Dorien Huijser, Malin Sandström, Peer Herholz, Samuel Nastase, AmanPreet Badhwar, Guillaume Dumas, Simon Schwab, Stefano Moia, Michael Dayan, Yasmine Bassil, Paula Brooks, Matteo Mancini, James Shine, David O’Connor, Xihe Xie, Davide Poggiali, Patrick Friedrich, Anibal Heinsfeld, Lydia Riedl, Roberto Toro, Cesar Caballero-Gaudes, Anders Eklund, Kelly Garner, Christopher Nolan, Damion Demeter, Fernando Barrios, Junaid Merchant, Elizabeth McDevitt, Robert Oostenveld, Cameron Craddock, Ariel Rokem, Andrew Doyle, Satrajit Ghosh, Aki Nikolaidis, Olivia Stanley, Eneko Uruñuela, Nasim Anousheh, Aurina Arnatkeviciute, Guillaume Auzias, Dipankar Bachar, Elise Bannier, Ruggero Basanisi, Arshitha Basavaraj, Marco Bedini, Pierre Bellec, Austin Benn, Kathryn Berluti, Steffen Bollmann, Saskia Bollmann, Claire Bradley, Jesse Brown, Augusto Buchweitz, Patrick Callahan, Micaela Chan, Bramsh Chandio, Theresa Cheng, Sidhant Chopra, Ai Chung, Thomas Close, Etienne Combrisson, Giorgia Cona, Todd Constable, Claire Cury, Kamalaker Dadi, Pablo Damasceno, Samir Das, Fabrizio Fallani, Krista DeStasio, Erin Dickie, Lena Dorfschmidt, Eugene Duff, Elizabeth Dupre, Sarah Dziura, Nathalia Esper, Oscar Esteban, Shreyas Fadnavis, Guillaume Flandin, Jessica Flannery, John Flournoy, Stephanie Forkel, Alexandre Franco, Saampras Ganesan, Siyuan Gao, José Alanis, Eleftherios Garyfallidis, Tristan Glatard, Enrico Glerean, Javier Gonzalez-Castillo, Cassandra van Praag, Abigail Greene, Geetika Gupta, Catherine Hahn, Yaroslav Halchenko, Daniel Handwerker, Thomas Hartmann, Valérie Hayot-Sasson, Stephan Heunis, Felix Hoffstaedter, Daniela Hohmann, Corey Horien, Horea-Ioan Ioanas, Alexandru Iordan, Chao Jiang, Michael Joseph, Jason Kai, Agah Karakuzu, David Kennedy, Anisha Keshavan, Ali Khan, Gregory Kiar, Christiaan Klink, Vincent Koppelmans, Serge Koudoro, Angela Laird, Georg Langs, Marissa Laws, Roxane Licandro, Sook-Lei Liew, Tomislav Lipic, Krisanne Litinas, Daniel Lurie, Désirée Lussier, Christopher Madan, Lea-Theresa Mais, Sina L, J.P. Manzano-Patron, Dimitra Maoutsa, Matheus Marcon, Daniel Margulies, Giorgio Marinato, Daniele Marinazzo, Christopher Markiewicz, Camille Maumet, Felipe Meneguzzi, David Meunier, Michael Milham, Kathryn Mills, Davide Momi, Clara Moreau, Aysha Motala, Iska Moxon-Emre, Thomas Nichols, Dylan Nielson, Gustav Nilsonne, Lisa Novello, Caroline O’Brien, Emily Olafson, Lindsay Oliver, John Onofrey, Edwina Orchard, Kendra Oudyk, Patrick Park, Mahboobeh Parsapoor, Lorenzo Pasquini, Scott Peltier, Cyril Pernet, Rudolph Pienaar, Pedro Pinheiro-Chagas, Jean-Baptiste Poline, Anqi Qiu, Tiago Quendera, Laura Rice, Joscelin Rocha-Hidalgo, Saige Rutherford, Mathias Scharinger, Dustin Scheinost, Deena Shariq, Thomas Shaw, Viviana Siless, Molly Simmonite, Nikoloz Sirmpilatze, Hayli Spence, Julia Sprenger, Andrija Stajduhar, Martin Szinte, Sylvain Takerkart, Angela Tam, Link Tejavibulya, Michel de Schotten, Ina Thome, Laura da Silva, Nicolas Traut, Lucina Uddin, Antonino Vallesi, John VanMeter, Nandita Vijayakumar, Matteo Castello, Jakub Vohryzek, Jakša Vukojević, Kirstie Whitaker, Lucy Whitmore, Steve Wideman, Suzanne Witt, Hua Xie, Ting Xu, Chao-Gan Yan, Fang-Cheng Yeh, B.T. Yeo, Xi-Nian Zuo","javier_gonzalezcastillo, dan_handwerker","Brainhack: Developing a culture of open, inclusive, community-driven neuroscience",2021-06-02,Neuron,109,11,,1769-1775,,,"Brainhack is an innovative meeting format that promotes scientific collaboration and education in an open, inclusive environment. This NeuroView describes the myriad benefits for participants and the research community and how Brainhacks complement conventional formats to augment scientific progress.",https://www.cell.com/neuron/fulltext/S0896-6273(21)00231-2,10.1016/j.neuron.2021.04.001,,,,education,journal_article,gau_et_al_2021.md
"Y. Yu, L. Huber, J. Yang, M. Fukunaga, Y. Chai, D. Jangraw, G. Chen, D. Handwerker, P. Molfese, Y. Ejima, N. Sadato, J. Wu, Peter Bandettini","renzo_huber, yuhui_chai, dan_handwerker, pete_molfese, peter_bandettini",Layer-specific activation in human primary sensory cortex during tactile temporal prediction error processing,2022-03-01,NeuroImage,248,,,118867,,,"The human brain continuously generates predictions of incoming sensory input and calculates corresponding prediction errors from the perceived inputs to update internal predictions. In human primary somatosensory cortex (area 3b), different cortical layers are involved in receiving the sensory input and generation of error signals. It remains unknown, however, how the layers in the human area 3b contribute to the temporal prediction error processing. To investigate prediction error representation in the area 3b across layers, we acquired layer-specific functional magnetic resonance imaging (fMRI) data at 7T from human area 3b during a task of index finger poking with no-delay, short-delay and long-delay touching sequences. We demonstrate that all three tasks increased activity in both superficial and deep layers of area 3b compared to the random sensory input. The fMRI signal was differentially modulated solely in the deep layers rather than the superficial layers of area 3b by the delay time. Compared with the no-delay stimuli, activity was greater in the deep layers of area 3b during the short-delay stimuli but lower during the long-delay stimuli. This difference activity features in the superficial and deep layers suggest distinct functional contributions of area 3b layers to tactile temporal prediction error processing. The functional segregation in area 3b across layers may reflect that the excitatory and inhibitory interplay in the sensory cortex contributions to flexible communication between cortical layers or between cortical areas.",https://www.sciencedirect.com/science/article/pii/S1053811921011381,https://doi.org/10.1016/j.neuroimage.2021.118867,,,,layer_fmri,journal_article,yu_et_al_2022.md
"Peter Bandettini, Laurentius Huber, Emily Finn","peter_bandettini, renzo_huber, emily_finn",Challenges and opportunities of mesoscopic brain mapping with fMRI,2021-08-01,Current Opinion in Behavioral Neurosciences,40,,,189-200,,,"Layer fMRI, requiring high field, advanced pulse sequences, and sophisticated processing methods, has emerged in the last decade. The rate of layer fMRI papers published has grown sharply as more groups are overcoming the substantial technical challenges and the unique advantages are becoming clear. Rather than simple delineation of functional activation, layer fMRI promises to provide directional activity and connectivity measures as they are inferred by the layer-specific location. This short review highlights the methods used to achieve layer fMRI as well as the challenges in acquisition, processing and interpretation. It emphasizes the utility of extensive individual averaging as well as the extreme difficulty of cross subject averaging. It also highlights recent studies that have explored layer fMRI in cognitive tasks as well as resting state connectivity studies that have revealed cortical hierarchy.",https://www.sciencedirect.com/science/article/pii/S2352154621001212,10.1016/j.cobeha.2021.06.002,,,,layer_fmri,journal_article,bandettini_et_al_2021.md
"G. Chen, P. Taylor, J. Stoddard, R. Cox, Peter Bandettini, L Pessoa",peter_bandettini,"Sources of Information Waste in Neuroimaging: Mishandling Structures, Thinking Dichotomously, and Over-Reducing Data",2022-03-07,Aperture Neuro,2,,,,,,"Sources of Information Waste in Neuroimaging: Mishandling Structures, Thinking Dichotomously, and Over-Reducing Data",https://apertureneuro.org/article/77476-sources-of-information-waste-in-neuroimaging-mishandling-structures-thinking-dichotomously-and-over-reducing-data,10.52294/ApertureNeuro.2022.2.ZRJI8542,,,,education,journal_article,chen_et_al_2022.md
"Jiajia Yang, Peter Molfese, Yinghua Yu, Daniel Handwerker, Gang Chen, Paul Taylor, Yoshimichi Ejima, Jinglong Wu, Peter Bandettini","jiajia_yang, dan_handwerker, peter_bandettini",Different activation signatures in the primary sensorimotor and higher-level regions for haptic three-dimensional curved surface exploration,2021-05-01,NeuroImage,231,,,117754,,,"Haptic object perception begins with continuous exploratory contact, and the human brain needs to accumulate sensory information continuously over time. However, it is still unclear how the primary sensorimotor cortex (PSC) interacts with these higher-level regions during haptic exploration over time. This functional magnetic resonance imaging (fMRI) study investigates time-dependent haptic object processing by examining brain activity during haptic 3D curve and roughness estimations. For this experiment, we designed sixteen haptic stimuli (4 kinds of curves × 4 varieties of roughness) for the haptic curve and roughness estimation tasks. Twenty participants were asked to move their right index and middle fingers along the surface twice and to estimate one of the two features—roughness or curvature—depending on the task instruction. We found that the brain activity in several higher-level regions (e.g., the bilateral posterior parietal cortex) linearly increased as the number of curves increased during the haptic exploration phase. Surprisingly, we found that the contralateral PSC was parametrically modulated by the number of curves only during the late exploration phase but not during the early exploration phase. In contrast, we found no similar parametric modulation activity patterns during the haptic roughness estimation task in either the contralateral PSC or in higher-level regions. Thus, our findings suggest that haptic 3D object perception is processed across the cortical hierarchy, whereas the contralateral PSC interacts with other higher-level regions across time in a manner that is dependent upon the features of the object.",https://www.sciencedirect.com/science/article/pii/S1053811921000318?via%3Dihub,10.1016/j.neuroimage.2021.117754,,,,layer_fmri,journal_article,yang_et_al_2021.md
