title,authors,fim_authors,date,journal,volume,pages,book_title,publisher,abstract,data_loc,code_loc,type,doi,project_id
Evidence of cascaded emission in a dual-wavelength quantum cascade laser,"Kale Franz, Daniel Wasserman, Anthony Hoffman, David Jangraw, Kuen-Ting Shiu, Stephen Forrest, Claire Gmachl",david_jangraw,2007-01-01,Applied Physics Letters,90.0,91104,,,,,,journal_article,10.1063/1.2709970,
Effects of stimulus rate on signal response during functional magnetic resonance imaging of auditory cortex,"J. Binder, S. Rao, T. Hammeke, J. Frost, Peter Bandettini, J. Hyde","patrick_frost-bellgowan, peter_bandettini",1994-01-01,Cognitive Brain Research,2.0,31-38,,,,,,journal_article,,
Impact of continuous versus intermittent CS-UCS pairing on human brain activation during Pavlovian fear conditioning,"J. Dunsmoor, Peter Bandettini, D. Knight","joseph_dunsmoor, peter_bandettini, david_knight",2007-01-01,Behavioral Neuroscience,121.0,635-642,,,,,,journal_article,,
Neuronal current imaging using MRI: A feasibility study,"N. Petridou, J. Bodurka, M. Loew, Peter Bandettini","natalia_petridou, peter_bandettini",2001-01-01,,4321.0,188-194,,,,,,journal_article,,
The spatial extent of the BOLD response,"Z. Saad, K. Ropella, E. DeYoe, Peter Bandettini","ziad_saad, peter_bandettini",2003-01-01,NeuroImage,19.0,132-144,,,,,,journal_article,,
A general mechanism for perceptual decision-making in the human brain,"H. Heekeren, S. Marrett, Peter Bandettini, L. Ungerleider","hauke_heekeren, peter_bandettini",2004-01-01,Nature,431.0,859-862,,,,,,journal_article,,
The effect of meditation on brain structure: cortical thickness mapping and diffusion tensor imaging,"D. Kang, H. Jo, J. Kwon",hang_jo,2013-01-01,Social Cognitive and Affective Neuroscience,8.0,27-33,,,,,,journal_article,,
Imaging the spontaneous flow of thought: distinct periods of cognition contribute to dynamic functional connectivity during rest,"Gonzalez-Castillo J, Caballero-Gaudes C, Topolski N, Handwerker DA, Pereira F, Peter Bandettini","javier_gonzalez-castillo, natasha_topolski, daniel_handwerker, peter_bandettini",2019-01-01,NeuroImage,,,,,,,,journal_article,https://doi.org/10.1016/j.neuroimage.2019.116129,bold_connectivity_dynamics
Somatotopic mapping of the human primary motor cortex with functional magnetic resonance imaging,"S. Rao, J. Binder, T. Hammeke, Peter Bandettini, J. Bobholz, J. Frost, B. Myklebust, R. Jacobson, J. Hyde","peter_bandettini, patrick_frost-bellgowan",1995-01-01,Neurology,45.0,919-924,,,,,,journal_article,,
Sources of group differences in functional connectivity: An investigation applied to autism spectrum disorder,"T. Jones, Peter Bandettini, L. Kenworthy, L. Case, S. Milleville, A. Martin, R. Birn","tyler_jones, peter_bandettini, rasmus_birn",2010-01-01,NeuroImage,,,,,,,,journal_article,,
Temporal interpolation alters motion in fMRI scans: Magnitudes and consequences for artifact detection,"Jonathan Power, Mark Plitt, Prantik Kundu, Peter Bandettini, Alex Martin","prantik_kundu, peter_bandettini",2017-01-01,PLOS ONE,,e0182939,,,,,,journal_article,10.1371/journal.pone.0182939,
Effective Preprocessing Procedures Virtually Eliminate Distance-Dependent Motion Artifacts in Resting State FMRI,"H. Jo, G. Reynolds, Peter Bandettini, M. Saad","peter_bandettini, ziad_saad, hang_jo",2013-01-01,Journal of Applied Mathematics,2013.0,935154,,,,,,journal_article,,
Separating respiratory-variation-related fluctuations from neuronal-activity-related fluctuations in fMRI,"R. Birn, J. Diamond, M. Smith, Peter Bandettini","rasmus_birn, jason_diamond, monica_smith, peter_bandettini",2006-01-01,NeuroImage,31.0,1536-1548,,,,,,journal_article,,
Techniques for blood volume fMRI with VASO: From low-resolution mapping towards sub-millimeter layer-dependent applications,"Laurentius Huber, Dimo Ivanov, Daniel Handwerker, Sean Marrett, Maria Guidi, Maria Guidi, Peter Bandettini, Benedikt Poser","laurentius_huber, daniel_handwerker, peter_bandettini",2018-01-01,NeuroImage,164.0,131-143,,,,,,journal_article,10.1016/j.neuroimage.2016.11.039,layer_fmri
Event-related fMRI contrast when using constant interstimulus interval: Theory and experiment,"Peter Bandettini, R. Cox",peter_bandettini,2000-01-01,Magnetic Resonance in Medicine,43.0,540-548,,,,,,journal_article,,
"Whole-brain, time-locked activation with simple tasks revealed using massive averaging and model-free analysis","J. Gonzalez-Castillo, Z. Saad, S. Inati, N. Brenowitz, D. Handwerker, Peter Bandettini","javier_gonzalez-castillo, ziad_saad, noah_brenowitz, daniel_handwerker, peter_bandettini",2012-01-01,PNAS,,,,,"<p>The brain is the body's largest energy consumer, even in the absence of demanding tasks. Electrophysiologists report on-going neuronal firing during stimulation or task in regions beyond those of primary relationship to the perturbation. Although the biological origin of consciousness remains elusive, it is argued that it emerges from complex, continuous whole-brain neuronal collaboration. Despite converging evidence suggesting the whole brain is continuously working and adapting to anticipate and actuate in response to the environment, over the last 20 y, task-based functional MRI (fMRI) have emphasized a localizationist view of brain function, with fMRI showing only a handful of activated regions in response to task/stimulation. Here, we challenge that view with evidence that under optimal noise conditions, fMRI activations extend well beyond areas of primary relationship to the task; and blood-oxygen level-dependent signal changes correlated with task-timing appear in over 95% of the brain for a simple visual stimulation plus attention control task. Moreover, we show that response shape varies substantially across regions, and that whole-brain parcellations based on those differences produce distributed clusters that are anatomically and functionally meaningful, symmetrical across hemispheres, and reproducible across subjects. These findings highlight the exquisite detail lying in fMRI signals beyond what is normally examined, and emphasize both the pervasiveness of false negatives, and how the sparseness of fMRI maps is not a result of localized brain function, but a consequence of high noise and overly strict predictive response models.</p>",https://openneuro.org/datasets/ds001553/versions/1.0.0,,journal_article,10.1073/pnas.1121049109,
Effects of Image Contrast on Functional MRI Image Registration,"J. Gonzalez-Castillo, K. Duthie, Z. Saad, C. Chu, Peter Bandettini, W. Luh","javier_gonzalez-castillo, kristen_duthie, ziad_saad, chia-yueh_chu, peter_bandettini",2013-01-01,NeuroImage,67.0,163-174,,,"<p>Lack of tissue contrast and existing inhomogeneous bias fields from multi-channel coils have the potential to degrade the output of registration algorithms; and consequently degrade group analysis and any attempt to accurately localize brain function. Non-invasive ways to improve tissue contrast in fMRI images include the use of low flip angles (FAs) well below the Ernst angle and longer repetition times (TR). Techniques to correct intensity inhomogeneity are also available in most mainstream fMRI data analysis packages; but are not used as part of the pre-processing pipeline in many studies. In this work, we use a combination of real data and simulations to show that simple-to- implement acquisition/pre-processing techniques can significantly improve the outcome of both functional-to-functional and anatomical-to-functional image registrations. In particular, we show that the use of low FAs (e.g., Œ∏<=40 degrees), when physiological noise considerations permit such an approach, significantly improves accuracy and consistency and stability of registration for data acquired at relatively short TRs (TR<=2s). Moreover, we also show that the application of bias correction techniques significantly improves alignment both for array-coil data (known to contain high intensity inhomogeneity) as well as birdcage-coil data. Finally, improvements in alignment derived from the use of the first infinite-TR volumes (ITVs) as targets for registration are also demonstrated. For the purpose of quantitatively evaluating the different scenarios, two novel metrics were developed: Mean Voxel Distance (MVD) to evaluate registration consistency, and Deviation of Mean Voxel Distance (dMVD) to evaluate registration stability across successive alignment attempts.</p>",,,journal_article,10.1016/j.neuroimage.2012.10.076,
Choosing the optimal pulse sequence for fMRI,Peter Bandettini,peter_bandettini,2001-01-01,,,123-143,,,,,,book_chapter,,
Visual imagery vividness correlates with afterimage brightness and sharpness,"Sharif Kronemer, Micah Holness, Tyler Morgan, Joshua Teves, Javier Gonzalez-Castillo, Daniel Handwerker, Peter Bandettini","sharif_kronemer, micah_holness, tyler_morgan, joshua_teves, javier_gonzalez-castillo, daniel_handwerker, peter_bandettini",2024-08-01,Neuroscience of Consciousness,2024.0,,,,"<p>Afterimages are illusory, conscious visual perseverations commonly induced by preceding light stimulation. A retinal centric view on the physiological source of afterimages is dominant. In addition, post-retinal mechanisms have been considered in the formation and modulation of afterimage perception, including cortical processes. A cortical role in afterimage perception posits possible shared neural mechanisms between afterimages and other conscious perceptions that emerge completely from central neural sources (e.g., imagery, hallucination, and dreams). To examine this hypothesis, we tested a perceptual link between afterimages and visual imagery. Framing the current experiment, we review more than a century of literature that evidences post-retinal processes in afterimage perception. Subsequently, we present an innovative afterimage perception reporting paradigm, validated on image stimuli, that allowed participants to indicate the perceived sharpness, contrast, and duration of their afterimages. From these perceptual reports, we discovered a novel category of evidence for cortical mechanisms in afterimage perception: the vividness of visual imagery positively correlates with afterimage brightness and sharpness. This result motivates future investigations on the neural mechanisms of afterimage perception and encourages implementing afterimages as a model perception to interrogate other kinds of conscious experience with known cortical origin.</p>",https://github.com/nimh-sfim/Afterimage-Imagery-Behavioral,https://github.com/nimh-sfim/Afterimage-Imagery-Behavioral,journal_article,https://doi.org/10.1093/nc/niae032,consciousness
Neuroscience in the 21st Century Functional Imaging: Magnetic Resonance Imaging,Peter Bandettini,peter_bandettini,2016-01-01,,,28-Jan,,,,,,book_chapter,10.1007/978-1-4614-6434-1,
The Two-Level Theory of verb meaning: An approach to integrating the semantics of action with the mirror neuron system,"D. Kemmerer, J. Gonzalez-Castillo",javier_gonzalez-castillo,2010-01-01,Brain and Language,112.0,54-76,,,"<p>Verbs have two separate levels of meaning. One level reflects the uniqueness of every verb and is called the 'root'. The other level consists of a more austere representation that is shared by all the verbs in a given class and is called the 'event structure template'. We explore the following hypotheses about how, with specific reference to the motor features of action verbs, these two distinct levels of semantic representation might correspond to two distinct levels of the mirror neuron system. Hypothesis 1: Root-level motor features of verb meaning are partially subserved by somatotopically mapped mirror neurons in the left primary motor and/or premotor cortices. Hypothesis 2: Template-level motor features of verb meaning are partially subserved by representationally more schematic mirror neurons in Brodmann area 44 of the left inferior frontal gyrus. Evidence has been accumulating in support of the general neuroanatomical claims made by these two hypotheses-namely, that each level of verb meaning is associated with the designated cortical areas. However, as yet no studies have satisfied all the criteria necessary to support the more specific neurobiological claims made by the two hypotheses-namely, that each level of verb meaning is associated with mirror neurons in the pertinent brain regions. This would require demonstrating that within those regions the same neuronal populations are engaged during (a) the linguistic processing of particular motor features of verb meaning, (b) the execution of actions with the corresponding motor features, and (c) the observation of actions with the corresponding motor features.</p>",,,journal_article,,
Introducing Alternative-Based Thresholding for Defining Functional Regions of Interest in fMRI,"Jasper Degryse, Ruth Seurinck, Joke Durnez, Javier Gonzalez-Castillo, Peter Bandettini, Beatrijs Moerkerke","javier_gonzalez-castillo, peter_bandettini",2017-01-01,Frontiers in Neuroscience,,,,,,,,journal_article,10.3389/fnins.2017.00222,
Functional MRI limitations in aspirations,Peter Bandettini,peter_bandettini,2000-01-01,,,,,,,,,book_chapter,,
How to Interpret Resting-State fMRI: Ask your Participants,"Javier Gonzalez-Castillo, Julia Kam, Colin Hoy, Peter Bandettini","javier_gonzalez-castillo, colin_hoy, peter_bandettini",2021-01-01,Journal of Neuroscience,41.0,1130-1141,,,"Resting-state fMRI (rsfMRI) reveals brain dynamics in a task-unconstrained environment as subjects let their minds wander freely. Consequently, resting subjects navigate a rich space of cognitive and perceptual states (i.e., ongoing experience). How this ongoing experience shapes rsfMRI summary metrics (e.g., functional connectivity) is unknown, yet likely to contribute uniquely to within- and between-subject differences. Here we argue that understanding the role of ongoing experience in rsfMRI requires access to standardized, temporally resolved, scientifically validated first-person descriptions of those experiences. We suggest best practices for obtaining those descriptions via introspective methods appropriately adapted for use in fMRI research. We conclude with a set of guidelines for fusing these two data types to answer pressing questions about the etiology of rsfMRI.",,,journal_article,10.1523/jneurosci.1786-20.2020,bold_connectivity_dynamics
"New horizons for the next era of human brain imaging, cognitive, and behavioral research: Pacific Rim interactivity","J. Horn, Peter Bandettini, K. Cheng, C. Egan, V. Stenger, S. Strother, A. Toga","peter_bandettini, megan_spurney",2008-01-01,Brain Imaging and Behavior,2.0,227-363,,,,,,journal_article,,
"Functional MRI: background, methodology, limits, and implementation","Peter Bandettini, R. Birn, K. Donahue","peter_bandettini, rasmus_birn",2000-01-01,,,978-1014,,,,,,book_chapter,,
Using fMRI to Study Auditory Comprehension,"J. Gonzalez-Castillo, O. Olulade, T. Talavage",javier_gonzalez-castillo,2012-01-01,Imaging in Medicine,4.0,145,,,"<p>Over the past 20 years, functional MRI (fMRI) has proven to be a powerful tool for the investigation of cognitive behavior in the brain. One of the more challenging aspects of the use of this technique is the application to studies involving acoustic stimulation, given that the measurement process generates acoustic noise of high intensity that can mask or otherwise impede perception and comprehension of a desired auditory stimulus. Advances in attenuation, acquisition strategies and experimental design have enhanced the use of fMRI in this context, with recent advances in active noise cancellation and our understanding of the fMRI-assessed hemodynamic response laying a framework for continued improvement.</p>",,,journal_article,,
Quantification of regional CMRO2 in human brain using dynamic 17O-MRI at 3T,"Hao Song, Johannes Fisher, Ali Özen, Burak Akin, Stefan Schumann, Michael Bock",burak_akin,2023-01-01,Zeitschrift für Medizinische Physik,,,,,"CMRO2 represents a key indicator of the physiological state of brain tissue. Dynamic 17O-MRI with inhalation of isotopically enriched 17O gas has been used to quantify global CMRO2 in brain white (WM) and gray matter (GM). However, global CMRO2 can only reflect the overall oxygen metabolism of the brain and cannot provide enough information on local tissue oxygen metabolism. To investigate the feasibility of determination of regional CMRO2 at a clinical 3 T MRI system, CMRO2 values in frontal, parietal and occipital WM and GM were determined in 5 healthy volunteers and compared to evaluate the regional differences of oxygen metabolism in WM and GM. Additionally, regional CMRO2 values were determined in deep brain structures including thalamus, dorsal striatum, caudate nucleus and insula cortex and in the cerebella, and compared with literature values from 15O-PET studies.",,,journal_article,10.1016/j.zemedi.2023.07.004,
From neuron to BOLD: New connections,"Peter Bandettini, L. Ungerleider",peter_bandettini,2001-01-01,Nature Neuroscience,4.0,864-866,,,,,,journal_article,,
Comparison of continuous overt speech fMRI using BOLD and arterial spin labeling,"S. Kemeny, F. Ye, R. Birn, A. Braun",rasmus_birn,2005-01-01,Human Brain Mapping,24.0,173-183,,,,,,journal_article,,
The respiration response function: the temporal dynamics of fMRI signal fluctuations related to changes in respiration,"R. Birn, M. Smith, T. Jones, Peter Bandettini","rasmus_birn, monica_smith, tyler_jones, peter_bandettini",2007-01-01,NeuroImage,40.0,644-654,,,,,,journal_article,https://doi.org/10.1016/j.neuroimage.2007.11.059,
Quantifying agreement between anatomical and functional interhemispheric correspondences in the resting brain,"H. Jo, Z. Saad, S. Gotts, M. Cox","ziad_saad, hang_jo",2012-01-01,PLoS One,7.0,e48847,,,,,,journal_article,,
Spatio-temporal information analysis of event-related BOLD responses,"Fuhrmann Alpert, F. Sun, D. Handwerker, M. D'Esposito, R. Knight","daniel_handwerker, david_knight",2007-01-01,NeuroImage,34.0,1545-1561,,,"<p>This work addresses the choice of imaging flip angle in blood oxygenation level dependent (BOLD) functional magnetic resonance imaging (fMRI). When noise of physiological origin becomes the dominant noise source in fMRI timeseries, it causes a nonlinear dependence of the temporal signal-to-noise ratio (TSNR) versus signal-to-noise ratio (SNR) that can be exploited to perform BOLD fMRI at angles well below the Ernst angle without any detrimental effect on our ability to detect sites of neuronal activation. We show, both experimentally and theoretically, that for situations where available SNR is high and physiological noise dominates over system/thermal noise, although TSNR still reaches it maximum for the Ernst angle, reduction of imaging flip angle well below this angle results in negligible loss in TSNR. Moreover, we provide a way to compute a suggested imaging flip angle, which constitutes a conservative estimate of the minimum flip angle that can be used under given experimental SNR and physiological noise levels. For our experimental conditions, this suggested angle equals 7.63 degrees for the grey matter compartment, while the Ernst angle=77 degrees. Finally, using data from eight subjects with a combined visual-motor task we show that imaging at angles as low as 9 degrees introduces no significant differences in observed hemodynamic response time-course, contrast-to-noise ratio, voxel-wise effect size or statistical maps of activation as compared to imaging at 75 degrees (an angle close to the Ernst angle). These results suggest that using low flip angles in BOLD fMRI experimentation to obtain benefits such as (1) reduction of RF power, (2) limitation of apparent T(1)-related inflow effects, (3) reduction of through-plane motion artifacts, (4) lower levels of physiological noise, and (5) improved tissue contrast is feasible when physiological noise dominates and SNR is high.</p>",,,journal_article,10.1016/j.neuroimage.2006.10.020,
Cross-species real time detection of trends in pupil size fluctuation,"Sharif Kronemer, Victoria Gobo, Catherine Walsh, Joshua Teves, Diana Burk, Somayeh Shahsavarani, Javier Gonzalez-Castillo, Peter Bandettini","sharif_kronemer, victoria_gobo, catherine_walsh, joshua_teves, bahar_shahsavarani, javier_gonzalez-castillo, peter_bandettini",2024-01-01,BioRxiv,,,,,"<p>Pupillometry is a popular method because pupil size is easily measured, sensitive to central neural activity, and associated with behavior, cognition, emotion, and perception. Currently, there is no method for online monitoring phases of pupil size fluctuation. We introduce rtPupilPhase - an open source software that automatically detects trends in pupil size in real time, enabling novel implementations of real time pupillometry towards achieving numerous research and translational goals. We validated the performance of rtPupilPhase on human, rodent, and monkey pupil data and propose future applications of real time pupillometry.</p>",https://github.com/nimh-sfim/rtPupilPhase,https://github.com/nimh-sfim/rtPupilPhase,journal_article,https://doi.org/10.1101/2024.02.12.579393,consciousness
"A framework for offline evaluation and optimization of real-time algorithms for use in neurofeedback, demonstrated on an instantaneous proxy for correlations","Ramot M, Javier Gonzalez-Castillo",javier_gonzalez-castillo,2019-01-01,NeuroImage,,,,,,,,journal_article,https://doi.org/10.1016/j.neuroimage.2018.12.006,
Assessment of temporal state-dependent interactions between auditory fMRI responses to desired and undesired acoustic sources,"O. Olulade, S. Hu, J. Gonzalez-Castillo, G. Tamer, W. Luh, J. Ulmer, T. Talavage",javier_gonzalez-castillo,2011-01-01,Hearing Research,277.0,67-77,,,"<p>A confounding factor in auditory functional magnetic resonance imaging (fMRI) experiments is the presence of the acoustic noise inherently associated with the echo planar imaging acquisition technique. Previous studies have demonstrated that this noise can induce unwanted neuronal responses that can mask stimulus-induced responses. Similarly, activation accumulated over multiple stimuli has been demonstrated to elevate the baseline, thus reducing the dynamic range available for subsequent responses. To best evaluate responses to auditory stimuli, it is necessary to account for the presence of all recent acoustic stimulation, beginning with an understanding of the attenuating effects brought about by interaction between and among induced unwanted neuronal responses, and responses to desired auditory stimuli. This study focuses on the characterization of the duration of this temporal memory and qualitative assessment of the associated response attenuation. Two experimental parameters-inter-stimulus interval (ISI) and repetition time (TR)-were varied during an fMRI experiment in which participants were asked to passively attend to an auditory stimulus. Results present evidence of a state-dependent interaction between induced responses. As expected, attenuating effects of these interactions become less significant as TR and ISI increase and in contrast to previous work, persist up to 18s after a stimulus presentation.</p>",,,journal_article,,
Magnetic Resonance Technologies,"Peter Bandettini, Lu Hanzhang",peter_bandettini,2017-01-01,,,,,,,,,book_chapter,,
Hemodynamic signals not predicted? Not so: A comment on Sirotin and Das (2009),"Daniel Handwerker, Peter Bandettini","daniel_handwerker, peter_bandettini",2011-01-01,NeuroImage,55.0,1412,,,,,,journal_article,10.1016/j.neuroimage.2010.04.037,
Functional responses in the human spinal cord during willed motor actions: evidence for side- and rate-dependent activity,"M. Maieron, G. Iannetti, J. Bodurka, I. Tracey, Peter Bandettini, C. Porro","marta_maieron, giandomencio_iannetti, peter_bandettini",2007-01-01,Journal of Neuroscience,27.0,4182-4190,,,,,,journal_article,,
Using fMRI to decode true thoughts independent of intention to conceal,"Z. Yang, Z. Huang, R. Dai, J. Gonzalez-Castillo, G. Northoff, Peter Bandettini","zhi_yang, javier_gonzalez-castillo, peter_bandettini",2014-01-01,NeuroImage,99.0,80-92,,,"<p>Multi-variate pattern analysis (MVPA) applied to BOLD-fMRI has proven successful at decoding complicated fMRI signal patterns associated with a variety of cognitive processes. One cognitive process, not yet investigated, is the mental representation of 'Yes/No' thoughts that precede the actual overt response to a binary 'Yes/No' question. In this study, we focus on examining: (1) whether spatial patterns of the hemodynamic response carry sufficient information to allow reliable decoding of 'Yes/No' thoughts; and (2) whether decoding of 'Yes/No' thoughts is independent of the intention to respond honestly or dishonestly. To achieve this goal, we conducted two separate experiments. Experiment 1, collected on a 3T scanner, examined the whole brain to identify regions that carry sufficient information to permit significantly above-chance prediction of 'Yes/No' thoughts at the group level. In Experiment 2, collected on a 7T scanner, we focused on the regions identified in Experiment 1 to examine the capability of achieving high decoding accuracy at the single subject level. A set of regions - namely right superior temporal gyrus, left supra-marginal gyrus, and left middle frontal gyrus - exhibited high decoding power. Decoding accuracy for these regions increased with trial averaging. When 18 trials were averaged, the median accuracies were 82.5%, 77.5%, and 79.5%, respectively. When trials were separated according to deceptive intentions (set via experimental cues), and classifiers were trained on honest trials, but tested on trials where subjects were asked to deceive, the median accuracies of these regions still reached 66%, 75%, and 78.5%. These results provide evidence that concealed 'Yes/No' thoughts are encoded in the BOLD signal, retaining some level of independence from the subject's intentions to answer honestly or dishonestly. These findings also suggest the theoretical possibility for more efficient brain-computer interfaces where subjects only need to think their answers to communicate.</p>",,,journal_article,,
QUIPSS II with thin-slice TI1 periodic saturation: A method for improving accuracy of quantitative perfusion imaging using pulsed arterial spin labeling,"W. Luh, E. Wong, Peter Bandettini, J. Hyde",peter_bandettini,1999-01-01,Magnetic Resonance in Medicine,41.0,1246-1254,,,,,,journal_article,,
Language lateralization from task-based and resting-state functional MRI in patients with epilepsy,"Rolinski R, You X, Gonzalez-Castillo J, Norato G, Reynolds RC, Inati SK, Theodore WH",javier_gonzalez-castillo,2020-01-01,Human Brain Mapping,,,,,,,,journal_article,,
Challenges and opportunities of mesoscopic brain mapping with fMRI,"Peter Bandettini, Laurentius Huber, Emily Finn","peter_bandettini, laurentius_huber, emily_finn",2021-01-01,Current Opinion in Behavioral Neurosciences,40.0,189-200,,,"Layer fMRI, requiring high field, advanced pulse sequences, and sophisticated processing methods, has emerged in the last decade. The rate of layer fMRI papers published has grown sharply as more groups are overcoming the substantial technical challenges and the unique advantages are becoming clear. Rather than simple delineation of functional activation, layer fMRI promises to provide directional activity and connectivity measures as they are inferred by the layer-specific location. This short review highlights the methods used to achieve layer fMRI as well as the challenges in acquisition, processing and interpretation. It emphasizes the utility of extensive individual averaging as well as the extreme difficulty of cross subject averaging. It also highlights recent studies that have explored layer fMRI in cognitive tasks as well as resting state connectivity studies that have revealed cortical hierarchy.",,,journal_article,doi.org/10.1016/j.cobeha.2021.06.002,layer_fmri
Revealing representational content with pattern-information fMRI - an introductory guide,"M. Mur, Peter Bandettini, N. Kriegeskorte","kevin_murphy, peter_bandettini, nicolaus_kriegeskorte",2009-01-01,Social and Cognitive Affective Neuroscience,4.0,101-109,,,,,,journal_article,,
Reducing vascular variability of fMRI data across aging populations using a breathholding task,"D. Handwerker, A. Gazzaley, B. Inglis, M. D'Esposito",daniel_handwerker,2007-01-01,Human Brain Mapping,28.0,846-859,,,,,,journal_article,10.1002/hbm.20307,
Principles of BOLD Functional MRI,"Seong-Gi Kim, Peter Bandettini",peter_bandettini,2023-01-01,Functional Neuroradiology,,461-472,Functional Neuroradiology,Functional Neuroradiology,,,,book_chapter,10.1007/978-3-031-10909-6_19,education
Swallow-related cerebral cortical activity maps are not specific to deglutition,"M. Kern, R. Birn, S. Jaradeh, A. Jesmanowicz, R. Cox, J. Hyde, R. Shaker",rasmus_birn,2001-01-01,Am J Physiol Gastrointest Liver Physiol,280.0,531-538,,,,,,journal_article,,
Auditory neuroimaging with fMRI and PET,"T. Talavage, J. Gonzalez-Castillo, S. Scott",javier_gonzalez-castillo,2014-01-01,Hearing research,307.0,15-Apr,,,"<p>For much of the past 30 years, investigations of auditory perception and language have been enhanced or even driven by the use of functional neuroimaging techniques that specialize in localization of central responses. Beginning with investigations using positron emission tomography (PET) and gradually shifting primarily to usage of functional magnetic resonance imaging (fMRI), auditory neuroimaging has greatly advanced our understanding of the organization and response properties of brain regions critical to the perception of and communication with the acoustic world in which we live. As the complexity of the questions being addressed has increased, the techniques, experiments and analyses applied have also become more nuanced and specialized. A brief review of the history of these investigations sets the stage for an overview and analysis of how these neuroimaging modalities are becoming ever more effective tools for understanding the auditory brain. We conclude with a brief discussion of open methodological issues as well as potential clinical applications for auditory neuroimaging. This article is part of a Special Issue entitled Human Auditory Neuroimaging</p>",,,journal_article,,
Taq1A polymorphism in the dopamine D2 receptor gene predicts brain metabolic response to aripiprazole in healthy male volunteers,"K. Kang, H. Jo, L. Shin",hang_jo,2008-01-01,Pharmacogenetics and Genomics,18.0,91-97,,,,,,journal_article,,
Editorial Reply to Jackle,"P. Fox, Peter Bandettini, J. Lancaster",peter_bandettini,2009-01-01,Human Brain Mapping,30.0,1936-1937,,,,,,journal_article,,
"US Patent #5603,332, Feb 18, 1997, Time Course MRI Imaging of Brain Functions.","A. Jesmanowicz, Peter Bandettini, J. Hyde, E. Wong",peter_bandettini,1997-01-01,,,,,,,,,misc,,
Functional magnetic resonance imaging of human auditory cortex,"J. Binder, S. Rao, T. Hammeke, F. Yetkin, A. Jesmanowicz, Peter Bandettini, E. Wong, L. Estkowski, M. Goldstein, V. Haughton",peter_bandettini,1994-01-01,Annals of Neurology,35.0,662-672,,,,,,journal_article,,
Neural correlates of unconditioned response diminution during Pavlovian conditioning,"J. Dunsmoor, Peter Bandettini, D. Knight","joseph_dunsmoor, peter_bandettini, david_knight",2007-01-01,NeuroImage,40.0,811-817,,,,,,journal_article,10.1016/j.neuroimage.2007.11.042,
